457.6	3.27087e+07	6.77184e+06	6.67163e+06	3.84776e+06
461.11	3.16015e+07	7.07925e+06	7.11682e+06	4.20246e+06
464.619	3.0531e+07	7.35424e+06	7.54681e+06	4.56795e+06
468.129	2.95089e+07	7.59417e+06	7.95584e+06	4.94106e+06
471.638	2.8545e+07	7.79772e+06	8.33885e+06	5.31837e+06
475.148	2.76471e+07	7.96495e+06	8.69164e+06	5.69632e+06
478.657	2.68205e+07	8.09712e+06	9.01105e+06	6.07129e+06
482.366	2.60282e+07	8.2012e+06	9.3101e+06	6.46048e+06
486.075	2.53206e+07	8.27223e+06	9.56856e+06	6.83857e+06
489.997	2.46635e+07	8.31603e+06	9.798e+06	7.22244e+06
494.055	2.40786e+07	8.33296e+06	9.98971e+06	7.59868e+06
498.292	2.35648e+07	8.326e+06	1.01437e+07	7.96548e+06
502.747	2.31223e+07	8.29814e+06	1.02597e+07	8.31982e+06
507.482	2.27503e+07	8.25237e+06	1.03383e+07	8.65906e+06
512.572	2.24482e+07	8.19159e+06	1.03801e+07	8.98009e+06
518.129	2.22158e+07	8.11855e+06	1.0386e+07	9.27964e+06
524.33	2.20531e+07	8.03568e+06	1.03569e+07	9.55433e+06
531.499	2.19615e+07	7.94474e+06	1.02931e+07	9.80068e+06
540.408	2.19476e+07	7.84543e+06	1.01913e+07	1.00157e+07
550.159	2.20088e+07	7.75774e+06	1.00742e+07	1.01593e+07
560.493	2.21149e+07	7.68853e+06	9.96096e+06	1.02356e+07
570.297	2.22257e+07	7.64266e+06	9.87187e+06	1.02598e+07
580.468	2.23331e+07	7.61154e+06	9.80043e+06	1.02549e+07
590.639	2.2424e+07	7.59319e+06	9.74899e+06	1.02338e+07
601.201	2.24976e+07	7.58373e+06	9.71342e+06	1.02052e+07
612.631	2.25542e+07	7.58069e+06	9.69076e+06	1.01744e+07
625.351	2.25935e+07	7.58227e+06	9.67906e+06	1.01452e+07
640.044	2.26162e+07	7.58683e+06	9.67624e+06	1.01207e+07
656.544	2.26237e+07	7.59231e+06	9.67956e+06	1.01044e+07
674.613	2.26215e+07	7.5969e+06	9.68524e+06	1.00964e+07
694.993	2.26153e+07	7.59988e+06	9.69056e+06	1.00943e+07
708.149	2.26116e+07	7.60084e+06	9.69283e+06	1.00948e+07
724.338	2.26082e+07	7.60133e+06	9.69449e+06	1.0096e+07
744.998	2.26058e+07	7.60137e+06	9.69535e+06	1.00974e+07
760.106	2.26051e+07	7.60125e+06	9.69547e+06	1.00982e+07
777.43	2.26048e+07	7.60108e+06	9.69539e+06	1.00987e+07
796.98	2.26049e+07	7.60094e+06	9.69522e+06	1.0099e+07
812.075	2.2605e+07	7.60087e+06	9.6951e+06	1.0099e+07
828.844	2.26051e+07	7.60083e+06	9.69501e+06	1.0099e+07
847.922	2.26053e+07	7.60081e+06	9.69495e+06	1.0099e+07
864.405	2.26053e+07	7.60081e+06	9.69493e+06	1.00989e+07
881.59	2.26053e+07	7.60082e+06	9.69493e+06	1.00989e+07
899.462	2.26054e+07	7.60082e+06	9.69493e+06	1.00989e+07
917.333	2.26053e+07	7.60082e+06	9.69494e+06	1.00989e+07
933.161	2.26053e+07	7.60083e+06	9.69494e+06	1.00989e+07
948.988	2.26053e+07	7.60083e+06	9.69494e+06	1.00989e+07
966.839	2.26053e+07	7.60083e+06	9.69494e+06	1.00989e+07
986.046	2.26053e+07	7.60083e+06	9.69494e+06	1.00989e+07
1000	2.26053e+07	7.60083e+06	9.69494e+06	1.00989e+07
